"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSMedicationAdministration","EHDSMedicationAdministration.reason[x]","EHDSMedicationAdministration.reason[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSCondition {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSObservation {[]} {[]}","Condition or observation that supports why the medication was administered.","Condition or observation that supports why the medication was administered.","","","","","","","","","",,"required","SNOMED CT (preferred), ICD-10, Orphacode","","",,,,"EHDSMedicationAdministration.reason[x]",0,*,"",""
"EHDSMedicationAdministration","EHDSMedicationAdministration.dosage","EHDSMedicationAdministration.dosage","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSAdministeredDosage {[]} {[]}
","Details of how medication was taken/administered.","Details of how medication was taken/administered.","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.dosage",0,1,"",""
"EHDSMedicationAdministration","EHDSMedicationAdministration.note","EHDSMedicationAdministration.note","","","",0,1,"","","","string {[]} {[]}
","Textual information about the administration.","Textual information about the administration.","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.note",0,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense","EHDSMedicationDispense","","","",0,*,"","","","null {[]} {[]}
","Medication dispense model","Logical model for medication dispensation (based on a request and dispensed in a pharmacy). Implementers should take into account, if allowed and needed, the calculation of remaining dispensable product based on this information.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.header","EHDSMedicationDispense.header","","","",1,1,"","","","Base {[]} {[]}
","Dispensation header.","Dispensation header.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.header.subject","EHDSMedicationDispense.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","The person for whom the medication is prescribed.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.header.identifier","EHDSMedicationDispense.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier for the dispensation.","Business identifier(s) for the dispense record.","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.header.author[x]","EHDSMedicationDispense.header.author[x]","","","",1,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author of the document.","The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.header.patientInsertedData","EHDSMedicationDispense.header.patientInsertedData","","","",0,0,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.header.date","EHDSMedicationDispense.header.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of issuing the dispense record.","Date and time of issuing the dispense record.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.header.status","EHDSMedicationDispense.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The status of the dispense, e.g. completed, declined, entered-in-error.","The status of the dispense, e.g. completed, declined, entered-in-error.","","","","","","","","","",,"required","HL7 MedicationDispense Status Codes","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.header.language","EHDSMedicationDispense.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.dispenseLocation","EHDSMedicationDispense.dispenseLocation","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
","Location of dispense.","Location of dispense.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.dispenseLocation",0,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.receiver[x]","EHDSMedicationDispense.receiver[x]","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.","Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.receiver[x]",0,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.relatedRequest","EHDSMedicationDispense.relatedRequest","","","",1,*,"","","","Identifier {[]} {[]}
","Identifier of the prescription item the dispense is related to. ","Identifier of the prescription item the dispense is related to.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.relatedRequest",1,*,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.medication","EHDSMedicationDispense.medication","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSMedication {[]} {[]}
","Exact dispensed product. If multiple medications are dispensed together, multiple dispense records should be created.","Exact dispensed product. If multiple medications are dispensed together, multiple dispense records should be created.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.medication",1,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.dispensedQuantity","EHDSMedicationDispense.dispensedQuantity","","","",1,1,"","","","Quantity {[]} {[]}
","Number of dispensed packages if the package size is known, or number of smaller items/units, according to the medication dispensed. A unit shall be provided.","Number of dispensed packages if the package size is known, or number of smaller items/units, according to the medication dispensed. A unit shall be provided.","","","","","","","","","",,"required","UCUM (preferred), EDQM Standard Terms","","",,,,"EHDSMedicationDispense.dispensedQuantity",1,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.substitutionOccurred","EHDSMedicationDispense.substitutionOccurred","","","",0,1,"","","","boolean {[]} {[]}
","Whether substitution was made by the dispenser. Definition of substitution is specific to the jurisdiction.","Whether substitution was made by the dispenser. Definition of substitution is specific to the jurisdiction.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.substitutionOccurred",0,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.dosageInstructions","EHDSMedicationDispense.dosageInstructions","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSDosage {[]} {[]}
","Dosage and administration instructions for the dispensed medicinal product. These instructions may deviate from the instructions included in the prescription.","Dosage and administration instructions for the dispensed medicinal product. These instructions may deviate from the instructions included in the prescription.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.dosageInstructions",0,1,"",""
"EHDSMedicationDispense","EHDSMedicationDispense.note","EHDSMedicationDispense.note","","","",0,1,"","","","string {[]} {[]}
","Additional information or comments.","Additional information or comments.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.note",0,1,"",""
"EHDSMedicationPrescription","EHDSMedicationPrescription","EHDSMedicationPrescription","","","",0,*,"","","","null {[]} {[]}
","Medication prescription model","Logical model for medication prescription. A prescription contains one or more prescription items (medications).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSMedicationPrescription","EHDSMedicationPrescription.header","EHDSMedicationPrescription.header","","","",1,1,"","","","Base {[]} {[]}
","Prescription header","Prescription header","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSMedicationPrescription","EHDSMedicationPrescription.header.subject","EHDSMedicationPrescription.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","The person for whom a medicinal product is prescribed/ordered.","The person for whom the medicinal product is prescribed/ordered.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
